21:45:42 第三轮精细化回测：34 只待降档
  001382 新亚电缆: step 0.1 → 0.02
  603908 牧高笛: step 0.1 → 0.02
  605011 杭州热电: step 0.1 → 0.02
  600072 中船科技: step 0.1 → 0.02
  002893 京能热力: step 0.1 → 0.02
  300675 建科院: step 0.1 → 0.02
  300549 优德精密: step 0.1 → 0.02
  603600 永艺股份: step 0.1 → 0.02
  301106 骏成科技: step 0.1 → 0.02
  300424 航新科技: step 0.1 → 0.02
  301131 聚赛龙: step 0.2 → 0.05
  688212 澳华内镜: step 0.2 → 0.05
  300565 科信技术: step 0.1 → 0.02
  600985 淮北矿业: step 0.1 → 0.02
  001256 炜冈科技: step 0.1 → 0.02
  301041 金百泽: step 0.1 → 0.02
  300319 麦捷科技: step 0.1 → 0.02
  301516 中远通: step 0.1 → 0.02
  300541 先进数通: step 0.1 → 0.02
  603888 新华网: step 0.1 → 0.02
  603194 中力股份: step 0.5 → 0.05
  301567 贝隆精密: step 0.2 → 0.05
  300707 威唐工业: step 0.1 → 0.02
  301622 英思特: step 0.5 → 0.05
  002355 兴民智通: step 0.05 → 0.02
  003029 吉大正元: step 0.2 → 0.05
  300540 蜀道装备: step 0.2 → 0.05
  600975 新五丰: step 0.05 → 0.02
  000025 特力Ａ: step 0.1 → 0.02
  603551 奥普科技: step 0.1 → 0.02
  601949 中国出版: step 0.05 → 0.02
  002462 嘉事堂: step 0.1 → 0.02
  300388 节能国祯: step 0.05 → 0.02
  002609 捷顺科技: step 0.05 → 0.02
  进度: 6500/142311 (4.6%), 步长=0.02, 当前最优: B=17.91 S=28.29 ret=57.63% score=26.51
  进度: 10500/373680 (2.8%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 6500/358281 (1.8%), 步长=0.02, 当前最优: B=17.52 S=29.56 ret=68.38% score=31.46
  进度: 11000/373680 (2.9%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 7000/142311 (4.9%), 步长=0.02, 当前最优: B=17.91 S=28.29 ret=57.63% score=26.51
  进度: 6500/33153 (19.6%), 步长=0.02, 当前最优: B=11.31 S=13.73 ret=84.61% score=54.15
  进度: 11500/373680 (3.1%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 7000/358281 (2.0%), 步长=0.02, 当前最优: B=17.52 S=29.56 ret=68.38% score=31.46
  进度: 7500/142311 (5.3%), 步长=0.02, 当前最优: B=17.91 S=28.29 ret=57.63% score=26.51
  进度: 7000/33153 (21.1%), 步长=0.02, 当前最优: B=11.31 S=13.73 ret=84.61% score=54.15
  进度: 12000/373680 (3.2%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 7500/358281 (2.1%), 步长=0.02, 当前最优: B=17.52 S=29.56 ret=68.38% score=31.46
  进度: 12500/373680 (3.3%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 8000/142311 (5.6%), 步长=0.02, 当前最优: B=17.91 S=28.29 ret=57.63% score=26.51
  进度: 7500/33153 (22.6%), 步长=0.02, 当前最优: B=11.31 S=13.73 ret=84.61% score=54.15
  进度: 13000/373680 (3.5%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 8000/358281 (2.2%), 步长=0.02, 当前最优: B=17.52 S=29.56 ret=68.38% score=31.46
  进度: 13500/373680 (3.6%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 8500/142311 (6.0%), 步长=0.02, 当前最优: B=17.91 S=28.29 ret=57.63% score=26.51
  进度: 14000/373680 (3.7%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 8500/358281 (2.4%), 步长=0.02, 当前最优: B=17.52 S=29.56 ret=68.38% score=31.46
  进度: 8000/33153 (24.1%), 步长=0.02, 当前最优: B=11.31 S=13.73 ret=84.61% score=54.15
  进度: 14500/373680 (3.9%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 9000/358281 (2.5%), 步长=0.02, 当前最优: B=17.52 S=29.56 ret=68.38% score=31.46
  进度: 9000/142311 (6.3%), 步长=0.02, 当前最优: B=17.91 S=28.29 ret=57.63% score=26.51
  进度: 15000/373680 (4.0%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 8500/33153 (25.6%), 步长=0.02, 当前最优: B=11.31 S=13.73 ret=84.61% score=54.15
  进度: 15500/373680 (4.1%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 9500/358281 (2.7%), 步长=0.02, 当前最优: B=17.52 S=29.56 ret=68.38% score=31.46
  进度: 9500/142311 (6.7%), 步长=0.02, 当前最优: B=17.91 S=28.29 ret=57.63% score=26.51
  进度: 16000/373680 (4.3%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 9000/33153 (27.1%), 步长=0.02, 当前最优: B=11.31 S=13.73 ret=84.61% score=54.15
  进度: 10000/358281 (2.8%), 步长=0.02, 当前最优: B=17.52 S=29.56 ret=68.38% score=31.46
  进度: 16500/373680 (4.4%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 10000/142311 (7.0%), 步长=0.02, 当前最优: B=17.91 S=28.29 ret=57.63% score=26.51
  进度: 17000/373680 (4.5%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 9500/33153 (28.7%), 步长=0.02, 当前最优: B=11.57 S=13.73 ret=92.15% score=64.51
  进度: 10500/358281 (2.9%), 步长=0.02, 当前最优: B=17.52 S=29.56 ret=68.38% score=31.46
  进度: 10500/142311 (7.4%), 步长=0.02, 当前最优: B=17.91 S=28.29 ret=57.63% score=26.51
  进度: 17500/373680 (4.7%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 18000/373680 (4.8%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 11000/358281 (3.1%), 步长=0.02, 当前最优: B=17.52 S=29.56 ret=68.38% score=31.46
  进度: 10000/33153 (30.2%), 步长=0.02, 当前最优: B=11.57 S=13.73 ret=92.15% score=64.51
  进度: 11000/142311 (7.7%), 步长=0.02, 当前最优: B=17.91 S=28.29 ret=57.63% score=26.51
  进度: 18500/373680 (5.0%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 11500/358281 (3.2%), 步长=0.02, 当前最优: B=17.52 S=29.56 ret=68.38% score=31.46
  进度: 19000/373680 (5.1%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 10500/33153 (31.7%), 步长=0.02, 当前最优: B=11.65 S=13.73 ret=105.71% score=80.34
  进度: 11500/142311 (8.1%), 步长=0.02, 当前最优: B=17.91 S=28.29 ret=57.63% score=26.51
  进度: 19500/373680 (5.2%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 12000/358281 (3.3%), 步长=0.02, 当前最优: B=17.52 S=29.56 ret=68.38% score=31.46
  进度: 20000/373680 (5.4%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 11000/33153 (33.2%), 步长=0.02, 当前最优: B=11.65 S=13.73 ret=105.71% score=80.34
  进度: 12000/142311 (8.4%), 步长=0.02, 当前最优: B=17.91 S=28.29 ret=57.63% score=26.51
  进度: 12500/358281 (3.5%), 步长=0.02, 当前最优: B=17.52 S=29.56 ret=68.38% score=31.46
  进度: 20500/373680 (5.5%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 12500/142311 (8.8%), 步长=0.02, 当前最优: B=17.91 S=28.29 ret=57.63% score=26.51
  进度: 21000/373680 (5.6%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
  进度: 11500/33153 (34.7%), 步长=0.02, 当前最优: B=11.65 S=13.73 ret=105.71% score=80.34
  进度: 13000/358281 (3.6%), 步长=0.02, 当前最优: B=17.52 S=29.56 ret=68.38% score=31.46
  进度: 21500/373680 (5.8%), 步长=0.02, 当前最优: B=19.85 S=23.23 ret=67.17% score=42.99
