Step mapping:
  003029: 0.2 → 0.05
  300540: 0.2 → 0.05
  600975: 0.05 → 0.02
  000025: 0.1 → 0.02
  603551: 0.1 → 0.02
  601949: 0.05 → 0.02
  002462: 0.1 → 0.02
  300388: 0.05 → 0.02
  002609: 0.05 → 0.02
  进度: 27500/87571 (31.4%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 28000/87571 (32.0%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 28500/87571 (32.5%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 29000/87571 (33.1%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 29500/87571 (33.7%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 30000/87571 (34.3%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 30500/87571 (34.8%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 31000/87571 (35.4%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 31500/87571 (36.0%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 32000/87571 (36.5%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 32500/87571 (37.1%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 33000/87571 (37.7%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 33500/87571 (38.3%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 34000/87571 (38.8%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 34500/87571 (39.4%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 35000/87571 (40.0%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 35500/87571 (40.5%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 36000/87571 (41.1%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 36500/87571 (41.7%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 37000/87571 (42.3%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 37500/87571 (42.8%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 38000/87571 (43.4%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 38500/87571 (44.0%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 39000/87571 (44.5%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 39500/87571 (45.1%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 40000/87571 (45.7%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 40500/87571 (46.2%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 41000/87571 (46.8%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 41500/87571 (47.4%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 42000/87571 (48.0%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 42500/87571 (48.5%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 43000/87571 (49.1%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 43500/87571 (49.7%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 44000/87571 (50.2%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 44500/87571 (50.8%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 45000/87571 (51.4%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 45500/87571 (52.0%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 46000/87571 (52.5%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 46500/87571 (53.1%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 47000/87571 (53.7%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 47500/87571 (54.2%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 48000/87571 (54.8%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 48500/87571 (55.4%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 49000/87571 (56.0%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 49500/87571 (56.5%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 50000/87571 (57.1%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 50500/87571 (57.7%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 51000/87571 (58.2%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 51500/87571 (58.8%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 52000/87571 (59.4%), 步长=0.05, 当前最优: B=17.10 S=31.15 ret=163.60% score=85.07
  进度: 52500/87571 (60.0%), 步长=0.05, 当前最优: B=23.25 S=27.25 ret=109.52% score=89.81
  进度: 53000/87571 (60.5%), 步长=0.05, 当前最优: B=23.25 S=27.25 ret=109.52% score=89.81
  进度: 53500/87571 (61.1%), 步长=0.05, 当前最优: B=23.25 S=27.25 ret=109.52% score=89.81
  进度: 54000/87571 (61.7%), 步长=0.05, 当前最优: B=23.55 S=27.25 ret=113.43% score=99.82
  进度: 54500/87571 (62.2%), 步长=0.05, 当前最优: B=23.60 S=26.50 ret=110.04% score=110.04
  进度: 55000/87571 (62.8%), 步长=0.05, 当前最优: B=23.60 S=26.50 ret=110.04% score=110.04
  进度: 55500/87571 (63.4%), 步长=0.05, 当前最优: B=23.60 S=26.50 ret=110.04% score=110.04
  进度: 56000/87571 (63.9%), 步长=0.05, 当前最优: B=23.60 S=26.50 ret=110.04% score=110.04
  进度: 56500/87571 (64.5%), 步长=0.05, 当前最优: B=23.60 S=26.50 ret=110.04% score=110.04
  进度: 57000/87571 (65.1%), 步长=0.05, 当前最优: B=24.10 S=26.45 ret=111.45% score=111.45
  进度: 57500/87571 (65.7%), 步长=0.05, 当前最优: B=24.20 S=26.45 ret=114.29% score=114.29
  进度: 58000/87571 (66.2%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 58500/87571 (66.8%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 59000/87571 (67.4%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 59500/87571 (67.9%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 60000/87571 (68.5%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 60500/87571 (69.1%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 61000/87571 (69.7%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 61500/87571 (70.2%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 62000/87571 (70.8%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 62500/87571 (71.4%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 63000/87571 (71.9%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 63500/87571 (72.5%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 64000/87571 (73.1%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 64500/87571 (73.7%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 65000/87571 (74.2%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 65500/87571 (74.8%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 66000/87571 (75.4%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 66500/87571 (75.9%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 67000/87571 (76.5%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 67500/87571 (77.1%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 68000/87571 (77.7%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 68500/87571 (78.2%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 69000/87571 (78.8%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 69500/87571 (79.4%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 70000/87571 (79.9%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 70500/87571 (80.5%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 71000/87571 (81.1%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 71500/87571 (81.6%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 72000/87571 (82.2%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 72500/87571 (82.8%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 73000/87571 (83.4%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 73500/87571 (83.9%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 74000/87571 (84.5%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 74500/87571 (85.1%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 75000/87571 (85.6%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 75500/87571 (86.2%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 76000/87571 (86.8%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 76500/87571 (87.4%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 77000/87571 (87.9%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 77500/87571 (88.5%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 78000/87571 (89.1%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 78500/87571 (89.6%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
  进度: 79000/87571 (90.2%), 步长=0.05, 当前最优: B=24.35 S=26.45 ret=121.14% score=121.14
